相川,あいかわ,aikawa
相沢,あいざわ,aizawa
相澤,あいざわ,aizawa
会田,あいだ,aida
相田,あいだ,aida
相原,あいはら,aihara
青井,あおい,aoi
青木,あおき,aoki
青島,あおしま,aoshima
青田,あおた,aota
青野,あおの,aono
青柳,あおやぎ,aoyagi
青山,あおやま,aoyama
赤井,あかい,akai
赤池,あかいけ,akaike
赤石,あかいし,akaishi
赤尾,あかお,akao
赤川,あかがわ,akagawa
赤木,あかぎ,akagi
赤坂,あかさか,akasaka
赤沢,あかざわ,akazawa
明石,あかし,akashi
赤塚,あかつか,akatsuka
我妻,あがつま,agatsuma
赤羽,あかばね,akabane
赤星,あかぼし,akaboshi
赤堀,あかほり,akahori
赤間,あかま,akama
赤松,あかまつ,akamatsu
赤嶺,あかみね,akamine
秋田,あきた,akita
秋葉,あきば,akiba
秋元,あきもと,akimoto
秋本,あきもと,akimoto
秋山,あきやま,akiyama
秋吉,あきよし,akiyoshi
阿久津,あくつ,akutsu
浅井,あさい,asai
浅岡,あさおか,asaoka
浅川,あさかわ,asakawa
朝倉,あさくら,asakura
浅田,あさだ,asada
浅沼,あさぬま,asanuma
浅野,あさの,asano
朝日,あさひ,asahi
朝比奈,あさひな,asahina
浅利,あさり,asari
芦沢,あしざわ,ashizawa
芦田,あしだ,ashida
麻生,あそう,asou
安達,あだち,adachi
足立,あだち,adachi
渥美,あつみ,atsumi
阿南,あなん,anan
阿部,あべ,abe
安倍,あべ,abe
安部,あべ,abe
天野,あまの,amano
雨宮,あまみや,amamiya
綾部,あやべ,ayabe
荒井,あらい,arai
新井,あらい,arai
新垣,あらがき,aragaki
荒川,あらかわ,arakawa
荒木,あらき,araki
荒田,あらた,arata
荒巻,あらまき,aramaki
荒牧,あらまき,aramaki
荒谷,あらや,araya
安里,あり,ari
有賀,ありが,ariga
有川,ありかわ,arikawa
有田,ありだ,arida
有馬,ありま,arima
有村,ありむら,arimura
有本,ありもと,arimoto
有吉,ありよし,ariyoshi
荒,あれ,are
粟野,あわの,awano
安斎,あんざい,anzai
安西,あんざい,anzai
安東,あんどう,andou
安藤,あんどう,andou
安保,あんぽ,anpo
飯尾,いいお,iio
飯島,いいじま,iijima
飯田,いいだ,iida
飯塚,いいづか,iiduka
飯沼,いいぬま,iinuma
飯村,いいむら,iimura
飯山,いいやま,iiyama
井内,いうち,iuchi
伊賀,いが,iga
五十嵐,いがらし,igarashi
猪狩,いかり,ikari
井川,いがわ,igawa
生田,いくた,ikuta
井口,いぐち,iguchi
池内,いけうち,ikeuchi
池上,いけがみ,ikegami
池田,いけだ,ikeda
池永,いけなが,ikenaga
池野,いけの,ikeno
池原,いけはら,ikehara
池本,いけもと,ikemoto
池谷,いけや,ikeya
生駒,いこま,ikoma
伊佐,いさ,isa
井坂,いさか,isaka
伊沢,いざわ,izawa
井沢,いざわ,izawa
石井,いしい,ishii
石岡,いしおか,ishioka
石垣,いしがき,ishigaki
石上,いしがみ,ishigami
石神,いしがみ,ishigami
石川,いしかわ,ishikawa
石倉,いしくら,ishikura
石黒,いしぐろ,ishiguro
石毛,いしげ,ishige
石坂,いしざか,ishizaka
石崎,いしざき,ishizaki
石沢,いしざわ,ishizawa
石島,いしじま,ishijima
石田,いしだ,ishida
石谷,いしたに,ishitani
石津,いしつ,ishitsu
石塚,いしつか,ishitsuka
石野,いしの,ishino
石橋,いしばし,ishibashi
石原,いしはら,ishihara
石丸,いしまる,ishimaru
石村,いしむら,ishimura
石本,いしもと,ishimoto
石森,いしもり,ishimori
石山,いしやま,ishiyama
石渡,いしわた,ishiwata
泉,いずみ,izumi
和泉,いずみ,izumi
泉田,いずみだ,izumida
泉谷,いずみや,izumiya
伊勢,いせ,ise
井関,いせき,iseki
磯,いそ,iso
磯貝,いそがい,isogai
磯崎,いそざき,isozaki
磯田,いそだ,isoda
磯野,いその,isono
磯部,いそべ,isobe
磯村,いそむら,isomura
井田,いだ,ida
板垣,いたがき,itagaki
板倉,いたくら,itakura
板橋,いたばし,itabashi
